id,customer_id,card_type,card_number,expiry_year,expiry_month,created_date,modified_date
1389,16706,Diners,38133445573541,2005,5,2019-11-17,2025-07-09
1392,4999,Diners,30141207714599,2006,1,2016-06-11,2025-01-24
1394,2347,Maestro,676136164305,2007,1,2015-03-17,2019-05-20
1403,12079,VISA,4242126128448761,2006,4,2017-07-29,2022-10-05
1409,3568,Mastercard,2707205453559590,2005,2,2015-10-01,2020-02-04
1410,4381,JCB,3576907651913273,2006,6,2017-08-27,2022-08-11
1422,19111,AMEX,370856586679141,2006,5,2016-09-26,2023-03-18
1427,2328,Maestro,503858512232,2007,6,2018-06-25,2022-06-22
1440,14657,Maestro,676323418555,2006,5,2015-11-13,2023-03-09
1444,11695,Maestro,676153904955,2007,3,2017-11-19,2022-09-08
1447,1573,VISA,4673440825651,2008,1,2015-05-14,2024-04-11
1450,9657,Discover,6011253416299856,2006,1,2016-12-14,2026-12-06
1458,3893,Mastercard,2235827747366275,2005,9,2017-05-13,2023-03-15
1466,14735,VISA,4798679584330087,2007,5,2019-05-07,2020-01-28
1467,737,Diners,30317635380720,2008,7,2016-10-10,2022-07-14
1473,4584,Discover,6011944554889645,2005,7,2018-10-19,2025-02-21
1477,827,AMEX,375085400796023,2005,1,2017-11-23,2021-10-03
1481,5238,Mastercard,2720486458333537,2008,2,2016-12-30,2025-07-09
1489,877,JCB,213151308128861,2008,6,2017-05-02,2024-09-05
1493,2242,Maestro,060486714185,2007,10,2015-02-26,2023-03-08
1505,2215,JCB,3506921934789942,2006,1,2017-04-21,2021-10-15
1521,2,VISA,4576057973174713,2006,4,2016-08-30,2026-03-12
1534,18237,VISA,4331146406884994731,2006,7,2018-04-19,2022-07-27
1552,189,AMEX,374210347554100,2006,4,2017-03-19,2023-02-05
1556,107,JCB,213133131672679,2008,9,2018-12-11,2026-08-05
1558,1295,VISA,4936432680396,2005,1,2017-12-23,2024-11-06
1567,1677,VISA,4333058900664,2006,12,2017-03-27,2026-08-30
1569,19393,Maestro,570029747252,2008,12,2018-06-08,2019-12-20
1572,15573,JCB,3562265803267668,2005,10,2019-04-15,2026-09-27
1574,20509,VISA,4636331361732228,2007,1,2016-10-30,2020-10-08
1605,2323,JCB,213184143193170,2005,12,2018-12-06,2022-05-08
1629,2126,Maestro,060494153038,2008,5,2017-07-14,2023-05-04
1637,13065,JCB,3510292291897163,2008,7,2018-08-11,2023-07-06
1641,1085,VISA,4500310425348,2006,3,2014-04-22,2022-04-14
1646,17977,Maestro,676367613863,2008,6,2016-07-17,2027-01-04
1649,7587,Maestro,502060514499,2007,2,2017-09-19,2027-03-13
1650,16955,JCB,213131864644675,2008,2,2017-01-08,2025-03-16
1657,8254,VISA,4793166950854630,2006,8,2018-02-11,2023-11-09
1665,2360,VISA,4884225925565018,2008,12,2017-12-11,2018-10-20
1667,6665,VISA,4153522450844766,2005,2,2017-12-23,2021-02-24
1689,10003,Maestro,676158857653,2008,8,2018-04-27,2026-09-06
1705,10047,VISA,4915462323223596505,2007,3,2017-01-30,2020-08-30
1716,5955,Mastercard,2641077697912011,2006,10,2017-01-29,2022-12-04
1721,230,VISA,4827098459733561,2007,10,2016-11-15,2026-03-18
1726,15430,Mastercard,2254906258646212,2007,4,2014-10-28,2019-05-14
1727,98,JCB,180087019947273,2006,6,2018-10-14,2023-02-26
1735,3249,Discover,6597793298812351,2007,10,2018-12-20,2023-10-20
1747,16892,JCB,3558903161765545,2006,6,2017-06-02,2023-01-28
1756,97,JCB,3509451867435138,2007,7,2019-04-27,2020-04-27
1760,2253,VISA,4496952673693,2007,2,2018-02-20,2025-02-28
1770,2376,JCB,3578135483055703,2007,9,2016-10-18,2024-08-18
1792,23,JCB,3588021424630002,2006,8,2017-02-20,2021-11-21
1798,2079,Maestro,675916907313,2005,8,2018-05-25,2019-08-01
1799,15907,JCB,180024103153229,2007,3,2018-10-15,2024-10-13
1813,239,AMEX,346816117820953,2007,5,2016-09-16,2022-08-12
1826,10049,AMEX,348214996687016,2008,6,2018-01-29,2025-06-11
1848,17081,VISA,4934561212484202278,2005,12,2015-12-16,2026-07-22
1852,2083,AMEX,346334566972002,2007,5,2018-07-15,2027-06-14
1858,437,VISA,4960172146871,2006,4,2017-06-30,2025-09-05
1861,19731,VISA,4825995732103223229,2007,11,2016-07-17,2022-08-07
1886,47,JCB,213128172135735,2005,5,2018-02-22,2019-07-28
1892,11367,JCB,3553746710360051,2007,8,2018-03-08,2022-06-08
1909,171,VISA,4894400350810811,2007,1,2018-04-03,2026-10-28
1914,495,VISA,4816837092795658,2008,2,2018-07-20,2025-06-28
1924,2378,Discover,6579538465755350,2008,10,2017-06-27,2024-03-30
1930,2129,VISA,4378333515336551,2006,11,2017-11-04,2021-12-23
1955,18728,JCB,180012266879789,2006,6,2016-09-30,2024-01-08
1957,260,Maestro,639033349031,2005,9,2016-11-16,2018-07-11
1969,1653,JCB,180085911326018,2006,8,2017-06-18,2026-07-23
2000,11922,Maestro,563187764805,2006,2,2016-12-08,2021-07-04
2008,4500,VISA,4257438441937236,2008,6,2016-11-11,2022-04-20
2009,2372,VISA,4139075631988,2005,3,2017-08-19,2025-01-26
2040,13146,Maestro,501815297848,2008,11,2015-12-31,2020-10-14
2055,4781,VISA,4800498911595473246,2008,6,2016-09-18,2022-02-07
2057,200,Maestro,502078282725,2005,4,2018-08-30,2021-03-26
2058,79,Maestro,675988002365,2007,7,2016-08-02,2023-11-28
2063,10086,AMEX,347066420575683,2008,4,2016-11-27,2027-02-19
2065,51,VISA,4254397880174714,2005,9,2016-10-29,2025-08-29
2070,12751,Maestro,639055671528,2006,5,2012-08-07,2017-02-08
2073,3419,VISA,4969236113082,2008,2,2016-10-20,2022-11-06
2077,399,VISA,4910565272376812507,2007,12,2018-10-05,2024-06-13
2093,2335,VISA,4865407180258,2006,4,2017-08-07,2024-06-27
2097,16269,JCB,213168736233261,2008,3,2017-12-18,2019-09-23
2104,2337,AMEX,371066033610488,2008,3,2017-10-07,2024-11-29
2108,1799,JCB,3506155166795125,2007,1,2019-03-11,2023-06-22
2110,17015,VISA,4686675499607572,2005,6,2016-09-14,2019-12-12
2114,9746,VISA,4620107991324163321,2008,8,2014-04-12,2023-03-18
2115,7077,AMEX,372481263825509,2006,1,2016-11-07,2023-05-19
2129,9603,VISA,4182214533137666,2007,1,2015-12-18,2021-05-28
2130,2313,VISA,4462392085167728,2008,11,2017-10-06,2020-01-17
2141,2296,AMEX,344796830342562,2006,7,2018-01-25,2019-01-27
2149,8665,Diners,36800022957287,2008,11,2016-11-30,2018-09-14
2173,1529,JCB,3555393104390168,2005,11,2015-03-24,2024-10-27
2177,1225,JCB,3585869349664198,2005,9,2017-06-21,2024-09-14
2199,3750,VISA,4669358365599,2005,9,2018-05-15,2022-04-17
2201,9141,VISA,4128826922024622,2007,6,2019-06-30,2024-09-03
2219,16215,VISA,4728530130204,2008,10,2016-07-26,2021-11-22
2223,6131,JCB,3522611835735645,2005,10,2019-03-15,2027-10-22
2234,19880,JCB,213159376294200,2007,1,2018-11-03,2019-08-29
2237,903,Diners,36323435408160,2006,6,2019-04-23,2023-05-19
2273,7534,JCB,180044877923714,2005,8,2017-05-24,2023-09-11
2296,5844,VISA,4152983321898616,2008,8,2015-12-25,2022-11-18
2313,19677,JCB,3548903402329708,2008,12,2017-05-10,2020-11-12
2322,17255,Diners,38208994084718,2008,10,2015-01-26,2020-03-11
2337,2291,VISA,4855099273538039304,2006,2,2014-09-24,2022-01-31
2350,15135,VISA,4442216706654962044,2008,8,2018-07-09,2023-02-08
2378,997,AMEX,340532117422189,2007,6,2018-01-23,2022-07-10
2381,825,AMEX,377552979900052,2007,2,2018-01-04,2022-12-01
2382,17373,VISA,4442714023824919,2006,12,2017-08-08,2025-08-21
2390,4966,JCB,3576268150289628,2007,1,2016-07-15,2018-11-16
2397,16884,VISA,4345694625935,2008,4,2016-11-09,2026-07-21
2398,2122,JCB,3574711878822354,2005,2,2015-06-28,2019-10-10
2404,7745,VISA,4863730120889464,2006,3,2017-11-02,2026-08-30
2406,5868,JCB,3574754145309201,2006,10,2018-12-13,2021-10-01
2423,15221,VISA,4233284039594,2006,10,2018-05-25,2020-05-24
2427,933,Maestro,588717344844,2006,12,2017-02-03,2026-10-31
2430,10008,AMEX,347423261655522,2006,7,2015-08-30,2018-06-16
2447,12086,Mastercard,2714211984419792,2008,12,2018-02-23,2026-05-16
2471,1517,Maestro,639059547112,2005,11,2017-10-05,2026-08-19
2479,15007,Maestro,567962098321,2005,1,2018-11-29,2027-02-03
2490,11435,AMEX,371808675083064,2006,8,2019-10-14,2025-11-14
2501,13728,VISA,4900776589942050858,2007,4,2019-01-01,2024-08-18
2506,2199,VISA,4603295352897705,2005,9,2018-05-16,2021-11-30
2509,9489,JCB,213183285015910,2007,8,2019-03-22,2022-05-23
2534,10648,Diners,30115769266313,2005,10,2017-03-02,2021-02-02
2548,6367,Diners,30316377293182,2005,1,2018-05-14,2025-06-20
2556,16846,Diners,30548895658740,2005,10,2018-09-26,2023-03-23
2574,20657,Discover,6562885980812623,2007,8,2014-04-17,2020-09-17
2588,12230,Mastercard,5411070121396811,2008,6,2017-01-01,2025-05-09
2597,8954,JCB,3553956921487490,2008,6,2017-01-10,2025-02-02
2600,196,Discover,6011012695178078,2007,12,2016-05-08,2018-12-29
2644,151,Discover,6560237671457569,2006,1,2017-01-03,2020-09-02
2655,20194,JCB,3594825703705406,2006,5,2017-04-23,2022-03-04
2660,16913,Discover,6519112523885139,2008,8,2019-06-27,2022-07-13
2663,14588,VISA,4228316927493,2005,7,2017-04-30,2022-11-07
2675,2325,VISA,4194516766455,2008,8,2016-11-27,2021-08-03
2680,19727,VISA,4141716322053617347,2008,9,2018-08-18,2019-12-08
2691,272,AMEX,344577352705596,2007,9,2018-09-01,2021-03-24
2708,5334,JCB,3533666030839136,2008,5,2017-10-08,2024-02-06
2718,15076,VISA,4325479910272822361,2006,9,2017-12-25,2025-12-29
2725,2307,JCB,3502739773309091,2008,2,2016-09-01,2027-04-08
2735,269,Diners,38635446352170,2005,9,2017-02-06,2021-12-02
2741,2370,Discover,6011514604636740,2005,12,2016-11-23,2018-11-04
2751,14154,AMEX,346914670603567,2007,12,2017-10-23,2019-12-28
2752,18589,Diners,38189588672953,2008,2,2019-04-15,2025-05-22
2801,187,JCB,213162513452665,2007,1,2015-06-19,2022-02-08
2809,12298,Diners,30317695212961,2005,9,2016-09-12,2019-10-14
2816,9646,JCB,3574429097074760,2005,10,2017-10-22,2021-07-15
2830,7970,Mastercard,2512917505207938,2005,7,2014-08-19,2024-04-10
2834,13712,VISA,4793481918692,2006,7,2019-08-26,2026-03-14
2848,13866,JCB,3542591623283220,2007,8,2018-12-06,2022-07-18
2854,485,VISA,4147182149595920,2006,6,2017-02-19,2020-12-21
2856,186,AMEX,342518579121904,2007,8,2019-03-27,2024-12-01
2858,210,AMEX,341670111929772,2005,11,2015-10-08,2021-07-18
2861,1163,JCB,213107985580766,2007,9,2017-11-01,2019-08-11
2867,9736,VISA,4931926526996279,2005,9,2017-02-19,2024-09-26
2881,2333,VISA,4323653344369663,2007,1,2018-05-14,2025-03-10
2903,3878,JCB,3540660244687713,2005,10,2018-12-06,2022-12-14
2908,727,Discover,6579119041520368,2008,2,2019-01-06,2026-01-19
2914,54,Maestro,565723942365,2006,11,2015-05-03,2020-02-19
2916,15107,Diners,30592021476155,2006,3,2019-06-21,2027-07-11
2917,13323,JCB,3510476545427931,2006,8,2016-08-30,2018-05-04
2919,19328,VISA,4518841173103759,2007,4,2017-10-27,2021-04-03
2927,2346,JCB,213124224783457,2007,8,2016-12-28,2025-08-26
2940,13621,VISA,4808539186090,2006,6,2018-01-01,2025-05-19
2944,2243,JCB,213160190412481,2007,6,2017-02-15,2018-02-08
2945,6788,VISA,4738604112061,2008,2,2017-09-17,2023-12-08
2964,10563,JCB,3518621959708142,2006,8,2017-04-12,2020-01-03
2976,19059,VISA,4938587880249771,2008,12,2018-04-12,2020-07-05
2985,11781,VISA,4223872525560442,2007,11,2017-05-06,2023-06-28
2986,18399,Maestro,502079364548,2007,5,2016-02-16,2020-09-17
3001,8825,Mastercard,2236777490600983,2005,9,2014-12-29,2020-02-21
3006,1173,AMEX,344206269527980,2006,2,2017-12-22,2020-07-24
3009,197,VISA,4246162856473966,2006,11,2017-04-07,2022-07-05
3018,3483,Diners,30572978787556,2005,8,2017-11-11,2023-11-26
3024,2027,Maestro,675996080494,2006,2,2017-10-30,2019-09-27
3026,3267,Maestro,676309761994,2008,2,2018-03-08,2022-04-12
3027,139,JCB,213178276680441,2005,2,2018-03-30,2025-02-24
3055,19094,AMEX,372667374903793,2005,3,2019-10-01,2022-03-03
3068,19379,Diners,30307275919325,2006,9,2018-10-26,2022-06-10
3069,50,VISA,4998458460474642,2006,12,2014-05-12,2020-08-02
3077,20256,VISA,4819892282196439065,2006,10,2016-09-04,2022-05-08
3090,3960,AMEX,379664384277261,2006,12,2017-07-04,2023-10-03
3092,280,VISA,4340986769585543071,2005,5,2017-04-23,2020-01-07
3098,11856,Maestro,676122285874,2005,4,2016-11-16,2021-08-03
3106,15760,JCB,3576158152723775,2008,12,2018-08-18,2019-08-31
3110,2353,JCB,3507512798539454,2008,4,2016-04-27,2024-11-09
3116,2228,Diners,30251718482931,2007,12,2017-11-21,2022-05-02
3120,17240,AMEX,342085173648963,2008,1,2017-11-10,2021-01-02
3122,3766,JCB,3521689846102204,2007,3,2016-01-26,2018-04-01
3147,2362,VISA,4154938565228399,2007,3,2017-08-12,2027-01-11
3149,1859,Discover,6011674115231868,2005,8,2018-11-08,2026-08-12
3150,4289,Maestro,503884103337,2006,11,2017-05-24,2024-06-04
3161,12370,Diners,30406050342198,2007,1,2017-10-07,2022-05-04
3169,2231,VISA,4369113487037201090,2007,5,2019-03-25,2022-10-01
3177,907,VISA,4760962356422785,2005,12,2015-04-27,2022-11-24
3179,11071,Mastercard,2272475638028408,2005,6,2018-04-12,2026-08-09
3191,7881,VISA,4545936782279912,2008,1,2019-03-21,2025-10-20
3198,15276,VISA,4618544438307,2006,8,2018-07-13,2027-11-14
3210,2064,VISA,4346300864108,2006,4,2015-02-15,2020-11-27
3215,1615,JCB,3513132354043403,2005,7,2015-07-01,2023-03-13
3221,4984,JCB,3552461338453392,2005,8,2017-10-26,2024-01-14
3223,7932,VISA,4982593827947,2007,4,2018-03-29,2025-05-20
3226,8137,VISA,4845183562394606,2007,7,2019-01-11,2022-05-04
3228,1117,Discover,6011150754172150,2006,3,2017-07-26,2025-08-31
3249,2145,JCB,180066275254053,2008,9,2016-11-07,2021-04-03
3258,2202,Discover,6552541177778083,2008,7,2017-02-13,2026-09-04
3260,1947,VISA,4797580752229476,2007,7,2017-01-22,2026-08-02
3264,317,Discover,6011047572405061,2007,9,2018-07-27,2019-10-21
3267,15121,Maestro,676256301349,2008,2,2017-01-23,2023-08-24
3290,4417,Diners,30472176648827,2006,4,2019-03-08,2026-09-25
3296,2210,JCB,3526817465176812,2008,2,2018-05-13,2021-08-04
3298,18439,VISA,4320157807089347741,2007,2,2016-10-08,2023-04-03
3303,2131,Maestro,503889036284,2007,2,2017-03-18,2023-05-08
3305,15058,Maestro,576396675844,2008,8,2018-10-21,2021-08-01
3309,1389,AMEX,345539188920889,2007,12,2017-03-06,2027-10-09
3310,2334,JCB,3571006955169750,2008,3,2018-01-05,2025-04-01
3327,5623,Discover,6011747308730753,2008,11,2018-01-22,2019-12-15
3348,2571,JCB,3545334693056987,2008,3,2015-09-30,2024-11-28
3349,19256,Diners,30320240374443,2007,7,2016-05-10,2025-04-28
3351,224,Maestro,581072664799,2005,6,2017-01-06,2020-07-17
3361,6436,JCB,3590453692999593,2005,5,2017-07-28,2025-10-27
3383,2141,VISA,4975787563914,2007,5,2018-01-29,2025-01-30
3396,15001,JCB,3523020162065643,2008,11,2015-03-31,2023-02-24
3408,4516,JCB,3534369678410174,2008,2,2017-12-28,2021-01-14
3409,2361,JCB,180001430398883,2006,7,2015-09-21,2020-08-14
3413,11260,VISA,4201228135085963,2008,3,2016-12-02,2021-01-31
3417,215,Diners,30003963191471,2005,2,2019-09-20,2024-03-27
3419,19867,JCB,3507466601894699,2005,6,2019-09-09,2025-05-07
3437,19297,JCB,3518112398809287,2005,6,2018-03-20,2023-05-20
3457,17360,VISA,4934209487541,2007,2,2012-06-28,2017-04-20
3459,3536,JCB,3501940704426019,2007,7,2017-12-12,2022-04-11
3467,13787,VISA,4392283223243791,2005,3,2018-12-10,2022-11-08
3481,2284,JCB,213126001424122,2008,11,2019-02-25,2020-08-15
3497,2232,JCB,3516860462939537,2008,1,2012-02-18,2014-10-03
3503,923,AMEX,343352464771931,2008,2,2018-05-01,2022-02-05
3508,8192,Maestro,675991854703,2007,1,2017-02-23,2021-08-04
3517,17643,VISA,4259763720157265,2008,4,2016-08-28,2024-12-04
3536,16017,AMEX,344075489028990,2008,2,2017-01-18,2022-02-06
